title,description,release_date
Supipara - Chapter 1 Spring Has Come!,"Springtime, April: when the cherry trees come into full bloom. The protagonist Yukinari Sanada has returned to his hometown in Kanagawa Prefecture, Kamakura City, for the first time in seven years, and is greeted by his older cousin Sakura Narumi (complete with maid outfit). He wanted to live in peace, but his life at the academy placed on the coastlands becomes bustling and brilliant while surrounded by a lineup of girls with booming personalities like Hotaru Amano, the sharp tongued, half-Japanese beauty, and Alice Kamishiro, the lazy witch who loves modern-science and mail-orders. Eventually, our protagonist is coaxed into joining the action committee for the academy's traditional beauty contest by his close friend. He interacts with the heroines participating in this contest who are cute but each have an idiocyncrasy or two. Fun events (with their own difficulties) pop up again and again. Your story with 'her' about smiles, peace, passion, and love, all while borrowing the power of a witch, is about to begin! 'Supipara - Alice the Magical Conductor.' is an interactive novel themed around 'dynamicism' depicted through a rallying all of the production techniques minori has accumulated to date. See expressive character portraits with moving eyes, mouths, even hair! It is quite immersive in many aspects. Also, 'Supipara' won't conclude in a single game. It will be released as several standalone episodes. Fans may freely pursue only the episodes that interest them if so desired. You could say 'it's a light novel series, and independent stories which develop their own unique personalities all in one.'","Jul 29, 2016"
Mystery Solitaire The Black Raven,"Immerse yourself in the most beloved, mystical and entrancing world of Edgar Allan Poe's ''The Raven!'' This work reflected the image of the poet himself, his life and mysterious, gloomy and wonderful poetics. Explore 12 locations connected with Poe's life and work, and earn lots of cool trophies. Levels of varying complexity provide several hours of exciting gameplay every day, and special Golden Cards add an extra layer of fun. This game is for people who enjoy card games as spider solitaire, pyramid, hearts, klondike, free cell, crescent, golf, addiction, three peaks, yukon, forty thieves, scorpion, gaps, canfield, crazy quilt, algerian, montana, eight off, calculation, clock solitaire. But regardless of the type, solitaire is an age-old game that never loses its flavor! - Let your emotions run wild! - Solitaire card game – collect chains of cards! - Never a dull moment with super exciting levels! - Vivid graphics and a Pirate soundtrack make this Solitaire a win-win! - Get rid of cards faster with jokers, and increase the combo multiplier to earn more coins! - Earn 15 mystical items! - Original themed decks and 12 card back styles! - Let the fun take over!","May 6, 2019"
버튜버 파라노이아 - Vtuber Paranoia,"synopsis 'Hello, I'm Hiyoro, a new YouTuber!' It's been three years since I've repeated such greetings. Hiyoro, who couldn't avoid Hakko's broadcast, fell into a lot of skepticism, self-destruction, and debt. Now, the broadcast that I turned on with the idea of the last broadcast, with an unknown algorithm, got a lot of response, and it ended up in a mess- Hiyoru, who suddenly received everyone's attention, became a popular YouTuber... Survive the controversy, red pills, and video donne! The survival of new YouTuber Hiyoru, 'Berber YouTuber Paranoia' is starting now! the number of people produced Produced by Eugene Games Illustration: Dotsang Spine Design: Weed Protection Logo Design: Garvey Sub Illustration: Rimi Hiyoru/Hayuri: Voice of Serena Kuro: Voice actor Yoo Hye-sun Recording: Plus diction Game specs Genre: Miyeon City, Visual Novell, Fostering, Strategy Estimated play time: 7 hours~ Configuration 2 Spine Characters 8 CG illustrations 3 Character Voice Application 19 ending songs How to play it The user can run the broadcast for a total of 30 days. It will host the show and answer your questions. In this case, the story will follow your answers. At the end of the broadcast, you earn profits proportional to the viewers and Donations. You can use the proceeds you earn to purchase your character's items. You can unlock new stories by purchasing items. You can check the ending before the 30th, or if you complete the 30th. Various endings can be viewed according to the user's selection. How to operate Mouse Click: Line Progress Ctrl: Skip the line Enter : Line Progress Esc : End of game, skip video ※ This work contains some shocking scenes or horror-inducing content. ※ 250317 Update Build optimization (reduced loading time on first-time game execution) Optimized in-game sound (voice, BGM, SFX) ","Oct 31, 2024"
Maze Quest VR,"Its not just a Maze; its a Quest! Enter the captivating realm of Maze Quest, where each unexpected turn presents fresh challenges, hidden treasures, and unexpected surprises! Your journey begins with L1: Training Day, a quick and exciting intro to get you geared up and familiar with the mechanics of this thrilling VR experience. Navigate through intricate mazes, collecting objects and dodging obstacles, all while racing against the clock. Keep your eyes sharp. 24 levels to complete!!! Hidden ammo and hourglass objects can give you extra time and ammunition, but you'll need precision to shoot them and claim the rewards. Your primary objective is to reach the portal gate before the time expires. The portal will instantly end the level, propelling you to greater challenges. Stay fully engaged with intuitive VR controls: The Right Controller: Your score and photon count, so you’re always in the know. The Left Controller keeps you focused with the time remaining, ensuring you don't lose track of your race against the clock. Each maze is uniquely designed to test your reflexes, puzzle-solving skills, and navigation prowess. Can you conquer the labyrinth and unlock its hidden secrets? With increasing complexity and dynamic challenges, Maze Quest delivers a high-energy VR adventure. Dare to take on the maze? The time is running out. Enter Maze Quest and prove your skills in the ultimate VR maze experience! Skyboxes by Blockade Labs Music by John Campanella and others ","Apr 24, 2025"
Armored Brigade II,"Building on the success of its acclaimed predecessor, Armored Brigade II elevates the wargaming experience by skillfully blending accessibility with tactical depthall within a new, more immersive 3D graphic landscape . This finely-tuned balance makes it an ideal choice for both newcomers and veterans of military wargames. Engage in a simulator that offers both pausable real-time and turn-based gameplay, where every decision counts. Authentic, detailed gameplay captivates players of all levels, immersing them in a world where strategy and realism converge. At the heart of the game are the command and control dynamics . Orders and information take time to be received and executed, influenced by factors such as training, doctrine, distance from HQ, and communication within formations. This system creates tense moments, especially when waiting for orders during critical situations. Players have the flexibility to issue orders to formations using a mix of general commands and specific Standard Operating Procedures. Engage in combat under a variety of weather and lighting conditions , each realistically affecting combat capabilities and tactics. A New Scale to Warfare Players can select from several vast real-world terrain maps , set across various locations in Europe. The immense scale of these maps not only enables high levels of replayability and customization but also facilitates authentic maneuver warfare, accommodating anything from a single platoon to several battalions simultaneously. This aspect of the game is further enriched by a robust skirmish generation system , allowing players to simulate a wide range of battle types across different seasons and settings, adding layers of depth and versatility to the gameplay experience. Engage in combat under a variety of weather and lighting conditions, each realistically affecting combat capabilities and strategies. Armored Brigade II excels with its vast assortment of over 1000 meticulously researched ground and air units , encompassing virtually every type in service. They are modeled to the finest detail, encompassing features such as turret traverse speed, guidance methods, and more. This thorough attention to detail ensures that each unit offers its real-life capabilities to the fullest extent, including accurate representations of engagement distances. These units can be used in single skirmishes or dynamic multi-battle operations across the master maps. The game also offers more traditional linear campaigns . Combat in Armored Brigade II is an all-encompassing contest of smarts, tactics, and mastery of your units, providing an enriching experience for both military enthusiasts and strategy gamers. Features: Comprehensive Command, Control, and Communications (C3) : Advanced mechanisms for information sharing and tactical decision-making. Huge Unit Database : Play as seven different countries with full rosters of vehicles and weapons from 1965-1991. Massive Real-World Terrain Maps : Expansive, detailed maps based on satellite topographic data and historical maps, offering vast landscapes for maneuvers and realistic engagement distances. Dynamic Weather System : A wide range of lighting and environmental effects that realistically impact gameplay and tactics. Improved Fire Support : Improved support mechanics, offering more depth in utilizing various assets such as air, artillery, and helicopters. Infantry Rework : Redesigned infantry mechanics for a more authentic and engaging ground combat experience. Campaigns : A mix of both dynamic and linear campaigns, allowing for varied and immersive storytelling within the game. ","Apr 8, 2025"
Galacatraz: Eject Equip Escape,"Years ago, Ricardo Luger was in the wrong place at the wrong time. Imprisoned for a crime he didn't commit and hardened by years at space labor camps, Luger was surprised to find himself accidentally freed by his captors. You must help him escape his space prison and return to a regular life. Galacatraz is a side scrolling, twin stick shooter, platformer set on a prison in outer space. You must utilize a variety of weapons and movement upgrades to defeat the guards and their Captain, as you seek a way off the ship. Features Four distinct stages, each with multiples levels. Multiple unique boss encounters. Use Double Jump to dominate enemies. Use Wall Jump to reach new locations. Use Rocket Jump to fly around uncontrollably. Challenge yourself by beating each level before the clock runs out! Message from the Devs Have you ever wondered what it would look like to try and make a game during three months of your summer break? Well, so did we. Gaze with wonder at this remarkable feat of compromise and learned lessons ! Is it the greatest game ever? Well, no, BUT its totally worth spending a buck or two to check out. Thanks for reading this! ~Jerry GAMEPAD REQUIRED! ","Feb 1, 2018"
Hepta Beats,"Hepta Beats is a 2D side-view platformer game in which the levels are controlled by the rhythm, predict adversities by following the rhythm to surpass the challenges. Predict the rhythm of the music to move forward Creative hand-crafted levels Die and try again Features 9 different levels with its own music Rhythm based gameplay Challenging levels Colorfur levels +9 harder levels to come(free DLC) Settings to change the colors (color blind people friendly) ","May 7, 2021"
MUMBA IV: Egypt Jewels,"WARRNING Don't show Your mom this game. You know what can happen... Think twice before clicking 'Read more'. End of message. INFORMATION ABOUT YOUR MISSION So, You clicked... You are a mom or You like the risk. In that case go to Egypt on an amazing adventure and explore all the ancient temples full of diamonds! If you're master (You are master!), you’ll get special bonuses, that'll help you in dangerous temples. There is no time, but Your every move in the temple is limited. The Lord MUMBA is guarding his treasures will you get them all? SCARAB Use the powerful Scarab to change the colors of the jewels and create powerful combinations . Do not be afraid. JOIN NOW Join a group of elite adventures, buy MUMBA IV: Egypt Jewels © now! FEATURES - Over 50 temples with bosses to explore! - No time only You and balls! - 29 languages supported - Fight with bosses guarding the temple - Story - Simple mechanics ! You can play using only the mouse! - Atmospheric ancient music - Secret temples (you need to find artifacts to enter them) - Over 30 hours of fun (all levels, secret temples, bosses, Steam Achievements etc.) *** - Each level is unique and has different difficulties - Support mouse , keyboard or gamepad - Beautiful graphics - Relaxing music and sound effects - Each temple has a goals - Defeat MUMBA and take all Egyptian jewels - 100 Steam Achievements - Steam Cloud - Game was created by a one-man studio and inspired by many puzzles ***[spoiler]My mom tested it, she is a professional gamer (she plays Candy Saga Crash, Bust a Move, The Lines - 100% achievements). 30 hours = all temples , secret temples, bosses, Steam Achievements[/spoiler] ","Dec 13, 2021"
OMNIMUS,"Omnimus is an interactive visual novel in an unusual setting (a mix of science fiction and fantasy) that allows players to directly influence the development of its plot. Most states did not survive the third world war. The borders between them were erased, and a unified form of government was established on the planet - corporatocracy, which put power over people in the hands of cold-blooded boards of directors of transnational companies. The bloody war left a heavy mark on the body of mankind, creating millions of useless cripples, one of which is the hero of this visual short story. In the post-war reality, people like him have no future. Nevertheless, he is given a unique chance - to start all over again in the experimental version of virtual reality full immersion. Involuntarily, he becomes a participant in an ambitious experiment. In the beginning, everything is going well, but gradually the events begin to take on a completely unexpected turn. player decisions have consequences two romanceable characters several endings beautiful CG and author's music ","Sep 25, 2019"
Fantasy General II,"Three hundred years have passed since the Shadow Wars have ravaged Keldonia and the world of Aer, and the struggles of the past have long since faded into legends. In the Highlands of Fareach, Clans of Barbarian warriors have eked out a living in the harsh northern climate, constantly feuding with each other and raiding the wealthier Borderland towns. Fed up with these constant attacks, the Borderland Clans called on the Empire for help – a powerful realm controlling the land from the Scarlett Mountains to Cynehelm Valley and the Hoarwood. The Western Imperial Legion was sent to face the highland raiders, and with the help of the Borderland clans Iseal and Machnar, killed High King Brendan in the battle of Wyrm’s Pass. A treaty was signed that forbade any clan from crossing into the Borderlands in return for peace. Since then, there has been no High King to unite the Clans, and they fell into quarrelling and raiding amongst themselves. In these dark times your clan has been led by Falir One-Eye, a warrior of great renown. You are his son and designated heir, and you are eager to prove your mettle to the Clan Council and your father… The Legacy Fantasy General II: Invasion is the reimagination of the strategy game classic from the 90s! Armies once again draw battle-lines on the war-torn land of Keldonia, and a new generation of commanders will test their bravery and tactics against each other. Fantasy wargaming is back! The Battles True to the tradition of the original game, Fantasy General II is all about turn-based battles. Lead over 75 different unique unit types, including powerful heroes. Take into consideration terrain, weapons and armour, magical effects, morale, and the balance of forces, make a plan, execute it, and vanquish your enemy, forging your reputation as a savage war-leader. The Campaign Battle after battle, you will need to make decisions and develop your army. The young clan members will need to be trained, and as they gain enough experience, even the greenest recruits can be turned into champions. But beware: costly victories can be worse than a defeat… when battle-hardened units perish, so does their progression and experience. Each unit comes with their specific abilities, arms and armour, and they can be equipped with magic artefacts you find during battle and upgraded with gold and resources that you need to plunder from your enemy. The Clans A confederation of autonomous hill-land tribes, who value their independence and will fight fiercely for it. Field axemen, berserkers, spearmaidens, trolls and shamans, summon ancestor spirits and mighty elementals or train nimble stag riders and deadly werebears or recruit mercenaries from longbowmen to centaurs. The Empire The most powerful realm on the face of Aer. Face the mighty Legions of the Empire and their magical creations from dragon cannons to golems as well as the Undead hordes they bring to battle, or fight harpies, lizard people and great dragons on your way. The World The world of Aer is filled with beauty and wonders. From the cold, magic-rich highlands of Fareach, home to the player’s Barbarian Clans, to the Borderlands with their fertile river valleys and deep woods where witches and monsters still roam free; from the Sunken Land, submerged through a great Cataclysm and filled with treacherous swamp and Lizardfolk, to the refined and temperate Empire to the South, home to wondrous cities and built upon undead labour. Your campaign will see you fight across very different battlefields, requiring variable tactics and army composition.","Sep 5, 2019"
